"location.long","location.lat","timestamp","burst_","step_id_","case_","x1_","y1_","x2_","y2_","t1_","t2_","dt_","sl_","ta_","individual.local.identifier","utm.northing","x2_.1"
-8.49730621867553,TRUE,"2014-04-16 08:09:35",11,109,FALSE,4967993.11200591,-1185267.563008,4968647.27179347,-1184097.02840617,"2014-04-16 08:09:35","2014-04-16 08:24:57",15.3666666666667,1262.41080006964,145.539333313729,"B3",-1184097.02840617,-1.31205639589084
-8.49929441478024,TRUE,"2014-04-16 11:18:13",12,117,FALSE,4967578.69273534,-1185168.3816209,4967962.15820039,-1184296.79464201,"2014-04-16 11:18:13","2014-04-16 11:33:38",15.4166666666667,935.004832639091,126.811915333062,"B3",-1184296.79464201,-1.31680892974983
-8.50007544541735,TRUE,"2014-04-13 10:18:35",1,16,FALSE,4968423.57701914,-1184995.01292633,4968566.30364166,-1184475.35487958,"2014-04-13 10:18:35","2014-04-13 10:33:57",15.3666666666667,546.188129496771,158.386045720298,"B3",-1184475.35487958,-1.31232628685179
-8.50027356392379,TRUE,"2014-04-16 10:16:48",12,113,FALSE,4967838.61095643,-1185113.10253862,4967811.52296925,-1184416.57237017,"2014-04-16 10:16:48","2014-04-16 10:32:12",15.4,682.506213899867,-54.9381720134822,"B3",-1184416.57237017,-1.31779151522092
-8.50032768238709,TRUE,"2014-04-13 11:53:27",1,22,FALSE,4968417.48138112,-1185051.83573169,4968589.40544287,-1184513.30843254,"2014-04-13 11:53:27","2014-04-13 12:09:12",15.75,551.384714939452,-124.410001108819,"B3",-1184513.30843254,-1.31212927500956
-8.50077850073226,TRUE,"2014-04-13 09:47:47",1,14,FALSE,4968390.56408345,-1184985.19689339,4967679.17100479,-1184472.0732569,"2014-04-13 09:47:47","2014-04-13 10:03:09",15.3666666666667,881.51664120496,27.6426094699454,"B3",-1184472.0732569,-1.31869576160471
-8.50081474135546,TRUE,"2014-04-13 11:22:17",1,20,FALSE,4968468.74658613,-1184961.97004652,4968460.90343333,-1184566.75057529,"2014-04-13 11:22:17","2014-04-13 11:37:51",15.5666666666667,398.478315591195,-130.356411093486,"B3",-1184566.75057529,-1.31300750636866
-8.5008516575017,TRUE,"2014-04-14 12:13:17",5,52,FALSE,4967378.87055837,-1184903.62539396,4967252.63625712,-1184433.4285651,"2014-04-14 12:13:17","2014-04-14 12:29:05",15.8,472.160773445169,-17.008113065733,"B3",-1184433.4285651,-1.32178890476083
-8.50089147912527,TRUE,"2014-04-13 09:47:47",1,14,FALSE,4968390.56408345,-1184985.19689339,4968605.3230064,-1184594.04748742,"2014-04-13 09:47:47","2014-04-13 10:03:09",15.3666666666667,452.767843554967,7.35978496416516,"B3",-1184594.04748742,-1.31194862005647
-8.50090721926514,TRUE,"2014-04-17 10:47:30",15,150,FALSE,4967843.97513721,-1184946.0421007,4968040.50873418,-1184531.50437836,"2014-04-17 10:47:30","2014-04-17 11:04:39",17.15,494.541140345323,-17.6874478540454,"B3",-1184531.50437836,-1.31605355489682
-8.50105923986557,TRUE,"2014-04-14 15:23:38",5,64,FALSE,4967915.51595211,-1185165.44534993,4967496.53768422,-1184490.43251346,"2014-04-14 15:23:38","2014-04-14 15:39:13",15.5833333333333,764.644932653446,58.6993617517116,"B3",-1184490.43251346,-1.31999145287747
